Mot;Distribution
donne;8
libre;3
accès;1
doivent;4
beau;9
moyen;1
tel;17
miracle;2
croyez-en;1
sachons;2
pleinement;1
effets;6
l'heure;1
produit;5
l'aurait-on;1
armées;1
chaleur;2
animées;1
menaçaient;1
marchant;1
fièrement;1
n'attendaient;1
commandement;2
dictateur;2
devant;2
rangs;2
s'avance;2
demande;10
prince;4
moment;11
silence;1
l'ayant;1
obtenu;1
faisons-nous;1
dit-il;3
démon;1
venir;3
souffrons;2
éclaire;1
âmes;4
sommes;7
voisins;3
filles;2
femmes;4
joints;1
noeuds;6
fils;14
neveux;1
villes;1
déchirer;1
guerres;1
civiles;1
mort;36
affaiblit;1
arrosé;1
communs;2
attendent;2
défait;1
proie;1
lassé;1
demi-rompu;1
fruit;1
dénué;1
lui-même;4
détruit;3
ont;19
joui;1
divorces;1
eux;14
dorénavant;2
joignons;1
forces;3
noyons;1
l'oubli;1
petits;1
différends;1
bons;3
guerriers;6
font;8
parents;6
l'ambition;2
autres;4
marcher;1
nôtres;4
pourvu;1
voulions;1
l'apaiser;1
unira;1
diviser;1
nommons;1
cause;7
attache;2
fortune;2
suivant;2
d'eux;11
ordonnera;1
faible;4
obéisse;1
indignité;1
braves;1
qu'ils;8
deviennent;1
sujets;5
esclaves;1
tribut;1
rigueur;4
suivre;5
drapeaux;1
états;4
feront;1
empire;4
mots;3
tait;2
d'aise;1
chacun;9
soupire;2
jetant;1
rang;5
reconnaît;1
beau-frère;5
cousin;1
ami;2
s'étonnent;1
comment;2
leurs;27
avides;1
volaient;1
parricides;1
couvert;4
d'ardeur;2
choix;19
l'offre;1
s'accepte;1
désirée;1
conditions;1
aussitôt;1
jurée;2
combattront;2
choisir;6
chefs;3
voulu;4
loisir;1
sénat;1
tente;1
ô;17
rend;4
contente;1
heures;1
commun;2
accord;1
réglera;1
cependant;3
nomme;3
d'autre;2
côté;1
l'accès;1
étant;3
permis;3
renouer;1
vieux;1
amis;3
passion;2
eu;1
prospères;1
l'auteur;1
jours;6
pareil;6
main;25
deviendrez;1
rebelle;1
devoir;12
l'obéissance;1
venez;2
donc;15
recevoir;3
mettre;5
comble;1
vais;5
revoir;2
savoir;4
misères;4
allez;5
autels;1
j'irai;1
rendre;7
grâces;3
immortels;3
séparé;1
estime;1
illégitime;1
superbe;1
qu'elle;20
préfère;2
opposant;1
vôtres;3
seule;6
brave;2
croirons;1
hors;7
d'horace;10
pouvait;3
combler;1
familles;1
consacrer;1
hautement;3
noms;5
mémoire;4
reçoit;5
titre;2
immortaliser;1
heur;1
placer;1
puis;9
intérêt;6
tient;3
contrainte;2
douceurs;2
crainte;2
éclat;4
mis;2
valeur;6
tremble;1
prévois;1
combattez;1
assurée;1
nommer;4
destin;4
l'a;3
projets;2
compte;3
rejette;1
aveuglement;1
fatal;1
d'avoir;5
pouvaient;1
soutenir;2
promette;1
cercueil;1
m'enfle;1
orgueil;2
conçoit;1
j'ose;1
vaillance;2
envieux;1
ravie;1
remplira;1
attente;3
quittera;1
vie;14
vaincre;4
vaincu;3
rarement;3
périt;1
malaisément;1
sera;6
sujette;5
derniers;2
n'assurent;1
défaite;3
plaint;1
craint;3
dures;2
extrémités;1
asservie;5
chère;5
l'unique;2
tendent;1
s'achète;1
seulement;3
attendre;3
côtés;2
répandre;5
trahis;4
pleureriez;1
mourant;2
généreux;8
trépas;11
charmes;3
souffre;5
recevrais;1
bénissant;1
perdaient;1
permettez;4
seuls;3
immortel;1
malheureux;3
fidèle;1
flavian;1
m'apporte;1
a-t-elle;1
viens;8
l'apprendre;1
eh;1
triste;8
regards;2
sévères;2
déplaît-il;1
m'estimais;1
dirai-je;2
dont;16
l'ordre;2
m'envoie;3
morne;1
froid;1
accueil;2
tour;3
dis-lui;1
l'amitié;3
l'alliance;2
pourront;3
empêcher;1
curiaces;6
servent;1
horaces;3
dire;3
porte-lui;1
réponse;1
repos;1
désormais;3
enfers;2
unissent;1
fureurs;1
hommes;3
démons;2
préparent;1
mets;1
pis;1
cruel;5
d'horrible;1
d'affreux;1
ouvre;2
barrière;1
offre;1
illustre;8
matière;2
épuise;1
force;7
mesurer;2
prend;9
communes;1
fortunes;1
salut;2
inconnu;1
s'exposer;1
seul;13
simple;1
ordinaire;1
l'ont;4
pourraient;2
briguerait;1
foule;1
public;7
immoler;2
s'attacher;1
soi-même;2
attaquer;2
défenseur;2
l'amant;3
rompant;1
s'armer;1
patrie;6
voudrait;1
racheter;1
telle;8
n'appartenait;1
l'éclat;1
jaloux;3
d'hommes;1
imprimée;1
oser;1
aspirer;1
vrai;1
sauraient;1
périr;2
l'occasion;4
chérir;1
serons;1
miroirs;1
rare;6
barbare;5
coeurs;7
tireraient;1
chemin;2
l'immortalité;1
mette;1
fumée;2
l'obscurité;1
vaut;2
l'ose;3
l'avez;1
consulté;1
longue;1
n'ont;3
balance;1
montre;2
effet;4
crois;3
consiste;1
percer;2
flanc;3
d'épouser;1
tuer;1
coure;1
s'en;7
effarouche;1
frémis;2
pitié;10
moi-même;3
jette;3
d'envie;1
consumé;1
souhait;2
toutefois;2
pouvoir;8
reculer;1
fier;1
m'émeut;1
m'ébranler;1
m'ôte;1
haute;6
rends;3
n'être;1
conserver;4
d'humain;1
n'êtes;2
soyez;1
l'être;1
m'égalez;1
faites-le;1
solide;2
n'admet;1
entrer;2
carrière;1
dès;2
regarder;4
arrière;1
haut;5
l'envisage;1
entier;1
m'emploie;1
j'accepte;1
aveuglément;1
celle;4
commandements;1
étouffer;3
sentiments;11
servir;4
lâchement;1
dispose;3
saint;2
sacré;1
rompt;2
lien;2
choisi;1
n'examine;2
pleine;3
sincère;1
j'épousai;1
combattrai;1
trancher;2
superflus;2
nommé;1
connais;5
tue;3
âpre;1
m'était;1
connue;1
l'admire;1
l'imite;1
n'embrassez;1
trouvez;1
charme;3
plainte;1
liberté;1
goûtez;1
voici;3
résoudre;1
ressouvenir;1
aimer;7
meurs;1
avez-vous;1
su;4
changé;1
armez-vous;1
montrez-vous;1
retourne;2
meurtrier;1
d'honneur;5
sert;1
sait;5
vivais;1
achevez;1
l'hyménée;2
tranche;1
destinée;2
faites;4
traitement;1
reprochez;1
vont;2
couler;2
presse;4
consommez;1
querellez;1
maudissez;1
pensez;3
laisserai;1
irons;1
ensemble;3
appelle;1
iras-tu;1
plaît-il;1
dépens;4
fasse;4
supplice;6
emploi;1
maudis;1
hais;4
passe;2
quereller;1
aller;2
veux;13
prie;1
t'excuse;1
fameux;3
exploits;6
reçu;3
soutenu;1
croître;2
ennoblir;1
ceigne;1
tête;3
lauriers;8
m'apprête;1
reproche;4
aurait;2
triomphé;1
j'avais;1
combattu;2
endormie;1
couronne;1
d'exploits;1
infamie;2
succomberas;1
vaincras;1
m'as;1
commis;1
rendrai;1
vivrai;1
finirai;1
avant;4
priver;1
toi-même;1
misère;1
ôte;2
douceur;2
jadis;1
viendras-tu;1
présenter;2
demander;3
conquête;1
pleurez;6
pleure;5
ordonne;1
meure;2
allume;1
flambeau;2
l'éteint;1
m'ouvrir;1
tombeau;3
impitoyable;2
s'obstine;3
dit;3
m'aime;1
m'assassine;1
amante;5
puissants;1
bel;1
s'attendrit;1
vue;4
s'évertue;1
n'attaquez;1
avecque;2
laissez-moi;1
sauver;2
chancelle;1
défend;3
place;5
vaincrait-elle;1
m'aimez;1
versez;1
j'oppose;1
l'offense;2
fortes;2
armes;8
défendrai;1
courroux;2
d'yeux;2
vengez-vous;1
ingrat;2
punissez;2
volage;1
montrez;2
sensible;1
outrage;2
faut-il;3
renonce;3
rigoureuse;1
victime;3
peux-tu;1
j'atteste;3
qu'au;3
lieu;9
aimerai;1
chérirai;1
perfide;1
cesse;4
d'aspirer;1
fratricide;1
suis-je;1
n'es-tu;1
préparerais;1
t'encouragerais;1
distraire;1
traiterais;1
j'étais;2
aveugle;2
revient;1
sabine;14
ébranler;1
joignez-vous;1
courage;8
l'amenez-vous;1
chercher;3
avantage;1
adieu;5
craignez;1
lâche;5
fâche;3
ébranlait;2
désavouerais;1
pourrais-je;1
prière;1
coup;7
ôter;1
l'impiété;1
l'attend;1
pureté;2
mélange;1
noeud;1
joint;2
brisez;1
alliance;1
rompez-en;1
achetez;1
obéir;2
venge;2
d'étrange;1
agresseur;1
venger;4
souilleriez;1
animiez;1
zèle;4
soins;3
feriez;1
étiez;1
différez;1
devez;2
commencez;3
vies;1
sacrifice;5
chères;2
patries;1
êtes;2
réservez-vous;1
appareil;1
pompeuse;1
fumer;2
j'aurai;2
chéri;1
pourrai-je;2
régler;1
satisfaire;2
devoirs;2
pleurant;1
aura;2
vécu;4
préviendra;1
l'obtienne;1
refus;3
condamne;1
mienne;2
retient;1
inhumains;2
moyens;4
forcer;1
aurez;1
occupées;1
corps;2
n'arrête;1
épées;2
faudra;2
fassent;1
jusque;1
s'amollissent;1
poussez;1
visages;1
pâlissent;1
quelle;11
peur;4
saisit;1
sont-ce;1
héros;3
défenseurs;1
t'ai-je;1
offense;1
t'oblige;1
vengeance;3
t'a;2
viens-tu;1
contente-toi;1
l'avoir;1
étonnée;1
achever;1
grande;2
réduire;2
étrange;2
triompher;7
va-t'en;1
douteuse;1
dispute;1
honteuse;3
qu'avec;2
termine;1
vient;8
vieil;30
horace;35
qu'est-ce-ci;1
écoutez-vous;1
flammes;2
perdez-vous;1
prêts;3
verser;2
regardez-vous;1
fuyez;1
laissez-les;1
déplorer;1
d'art;1
feraient;1
fuyant;1
pare;1
n'appréhendez;1
souhaitez;1
laissons;2
allons;3
perdons;1
vertus;3
recourir;1
tigres;1
retenez;1
s'emportent;1
grâce;5
empêchez;1
surtout;1
qu'elles;4
sortent;1
importun;1
viendrait;1
cris;3
troubler;1
ferait;1
justice;7
imputerait;1
artifice;2
serait;4
acheté;1
soupçonnait;1
lâcheté;4
aurai;1
qu'aux;3
demandent;2
compliments;1
n'attendrissez;1
encourager;1
termes;1
laissez;2
prenons;3
telles;1
disgrâces;1
soyons;3
cessons;1
partager;1
inutiles;1
souhaitons;1
craignons;2
las;2
nature;3
parle;2
loi;5
hauts;2
réglons;1
regardons;2
souverain;2
imitons;1
menace;1
n'appelons;1
songeons;1
quelles;1
revoyons;1
considérer;2
élève;1
faisons;1
forts;2
liens;3
miens;6
trouvé;1
d'en;4
tirer;2
horreur;2
flatteuse;1
erreur;6
douce;1
grossière;1
impuissante;1
lumière;1
brillant;1
m'éblouir;1
durer;2
tôt;1
t'évanouir;1
pareille;3
éclairs;1
ombres;1
poussent;1
fuit;3
nuits;1
sombres;1
n'as;1
frappé;1
clarté;1
abîmer;1
d'obscurité;1
charmais;1
vend;1
relâche;1
percé;2
m'ôtent;1
maintenant;2
propose;1
touche;5
souhaitée;1
favorables;1
m'avez;1
écoutée;2
foudres;1
lancez-vous;1
irritez;2
faveurs;1
cruautés;1
façon;3
punissez-vous;1
traitez;1
l'innocence;1
m'apportez-vous;1
impies;1
d'hosties;1
m'enviant;1
l'horreur;3
étaient;1
condamnée;1
passé;2
l'ignorez;1
étonner;1
l'ignore;1
savez-vous;1
prison;1
renferme;1
cela;3
serions;1
désespoirs;1
chaste;2
aurions;2
tiré;1
n'était;2
besoin;3
tendre;1
spectacle;3
apporte;1
paru;1
entendu;1
murmurer;1
personnes;3
proches;1
mortelles;2
approches;1
s'émeut;1
saisi;1
admire;1
fureur;2
porte;4
jusqu'aux;2
sacrilège;2
brutale;2
accusent;1
détestent;1
pouvant;1
s'écrie;1
d'encens;1
m'exaucez;1
pouvez;4
garantir;5
cruels;2
peuvent;4
consentir;1
précieuse;1
tellement;1
ambitieuse;1
qu'alors;1
déplore;2
s'estiment;1
prennent;2
affront;2
souille;1
mourront;1
séparés;1
quitter;2
honneurs;4
déférés;1
dureté;1
s'obstinent;1
d'ailleurs;2
mutinent;1
parts;1
poussés;1
présence;2
respectée;1
roi;15
s'échauffe;1
discord;1
consultons;1
majesté;3
sacrée;1
voyons;2
bontés;1
agrée;1
impie;2
osera;1
lorsqu'en;2
l'auront;2
arrachent;1
désir;1
ferme;1
bouillante;1
cède;3
l'avis;2
tulle;2
déférence;1
scrupule;1
connaissaient;1
s'apprendra;1
victimes;1
n'avoueront;1
plein;1
espère;1
puisqu'il;1
différé;1
commence;3
désiré;1
dise;1
bonne;3
pense;1
dite;1
conçois;1
flatte;1
ennui;1
délai;1
rendra;1
long;2
terme;1
inquiétudes;1
l'allégement;1
pleurer;4
tard;2
inspiré;2
tumulte;1
disons;1
consulte;1
mêmes;2
descendent;1
étages;1
l'âme;2
vivantes;1
l'indépendante;1
sainte;1
autorité;1
rayon;1
divinité;2
figurer;1
perdu;5
démentir;1
comprendre;1
l'entend;1
d'autant;3
croit;2
l'entendre;1
s'assurer;1
arrêt;3
d'obscur;1
d'assurance;1
demi;1
promet;1
mérite;1
empêche;1
déploie;1
lorsqu'elle;1
descend;1
renvoie;1
événements;1
règle;2
dessus;1
modérez;1
j'espère;2
retour;1
n'emploierons;1
préparatifs;1
hyménée;2
l'espère;1
n'ose;2
songer;1
fera;3
juger;2
approuver;1
feriez-vous;1
attendiez;1
fatales;1
pertes;3
égales;1
parlez;2
sainement;1
d'autrui;2
plonge;1
auprès;3
sembleront;1
l'égal;3
détache;1
compare;1
différents;2
demeurent;1
suspendus;1
impossible;1
confondus;1
porter;4
terminer;2
persécuter;2
souhaiter;4
raisonnement;1
oublier;2
n'efface;1
profonds;1
caractères;1
hait;1
premiers;2
droits;4
nous-mêmes;1
brûlez;1
voulez;2
mauvaise;1
jalousie;1
fantaisie;1
comparaison;1
qu'opposer;1
volontaires;1
rendus;1
nécessaires;1
n'aimâtes;1
connaissez;1
traits;2
bannir;1
maître;4
l'aveu;1
engageant;1
tyran;1
légitime;4
goûté;1
amorce;1
chaînes;1
belles;2
apporter;1
fâcheuses;1
nouvelles;2
dissimuler;1
l'ordonnent;1
l'avouer;2
m'étonnent;1
m'imaginais;1
d'injustice;1
bonté;1
consolez;1
importune;1
avons;1
braver;2
pourrions;2
aisément;3
fausse;1
l'usage;1
art;1
voulons;3
passer;2
demandons;1
s'abaisse;1
exemple;2
frémir;1
mêler;1
gardez;1
blâmer;1
défendre;2
céderais;1
prenais;1
m'ait;1
encor;4
tourmente;1
aucun;3
étonnement;1
flétrie;2
moitié;5
refusé;1
l'avaient;1
mendiée;1
l'eût;1
répudiée;1
bientôt;7
m'eût;2
vengé;1
l'affront;1
mol;1
consentement;1
dépit;1
cèle;1
pitoyable;1
écouté;1
réduite;2
souillés;1
l'événement;1
humain;1
dépendrait;1
prudence;2
ordre;2
éternel;3
repose;1
s'arme;1
générosité;1
tâchez;1
soulager;1
peines;2
songez;1
romaines;1
l'êtes;2
devenue;1
glorieux;2
trésor;1
viendra;2
tonnerre;1
l'univers;2
tremblant;1
deviendra;1
enée;1
venez-vous;2
apprendre;1
défaits;1
vraiment;1
l'en;1
employé;1
jusqu'au;1
soupir;2
trompe;2
remparts;1
admirer;2
qu'ont;1
adversaires;2
enfermé;1
sauvé;2
soldats;1
achevé;1
donné;1
retraite;1
jouissent;1
nobles;2
fleurs;1
couverte;1
payé;1
suivi;3
invaincu;1
voisin;1
province;1
l'irréparable;1
imprime;1
déshonneur;2
race;4
l'opprobre;1
vouliez-vous;1
fît;1
mourût;1
secourût;1
n'eût-il;1
reculé;1
été;1
laissé;1
cheveux;1
gris;1
c'était;2
comptable;1
goutte;1
épargnée;1
met;3
romprai;1
cours;4
colère;10
usant;1
saura;1
punition;1
l'éclatant;1
désaveu;1
action;5
ardeurs;1
généreuses;1
rendez;1
malheureuses;1
console;1
jusqu'ici;1
touchent;1
faiblement;1
n'avez;1
voyant;3
monte;1
regardez;1
infâme;2
donnera;1
défenses;1
suprêmes;1
puissances;1
qu'avant;1
fini;1
propres;3
laveront;1
suivons-le;1
promptement;1
l'emporte;1
verrons-nous;1
sorte;2
faudra-t-il;1
redouter;1
fuie;1
n'évite;1
derechef;1
troupe;1
céleste;2
prenez;3
sentiment;3
verrez;1
user;2
l'ait;1
comblée;1
excuser;3
nombre;2
accablée;1
jugement;2
regard;1
l'accable;1
vigueur;2
taisez-vous;1
envoyé;1
consoler;1
témoigner;1
soulagement;2
couverts;1
d'infamie;1
m'ôter;1
ennemie;2
gens;2
tenir;1
eut-il;1
maltraitez;1
punir;5
forfait;4
trouvez-vous;2
conduite;1
glorieuse;1
occasion;2
redoublez;1
l'exemple;1
trouver;2
conserve;1
gagne;1
aspire;2
lorsqu'albe;1
range;1
parlez-vous;1
ignorez-vous;1
l'histoire;1
n'est-il;1
terminé;1
imaginé;1
fuyait;1
savait;1
ménager;1
apprenez;2
tort;1
condamnez;1
resté;1
aventure;1
blessés;1
blessure;1
dangereux;1
prompte;3
ruse;1
divise;1
adroitement;1
abuse;1
pressé;1
selon;1
rencontre;1
blessé;2
poursuivre;1
inégaux;1
séparent;1
poursuite;1
écartés;1
demi-domptés;1
attend;1
indigné;1
osé;1
l'attaquant;1
ralentit;1
crie;1
second;1
secoure;1
hâte;1
s'épuise;1
joignant;1
d'haleine;1
redouble;1
débile;1
appui;3
voulant;1
l'air;2
résonne;1
envoie;2
d'angoisse;1
d'achever;1
d'immoler;2
mânes;4
l'immoler;1
